Name,Pos,ID
Patrick Mahomes,QB,/players/M/MahoPa00
Justin Herbert,QB,/players/H/HerbJu00
Tom Brady,QB,/players/B/BradTo00
Kirk Cousins,QB,/players/C/CousKi00
Joe Burrow,QB,/players/B/BurrJo01
Jared Goff,QB,/players/G/GoffJa00
Josh Allen,QB,/players/A/AlleJo02
Geno Smith,QB,/players/S/SmitGe00
Trevor Lawrence,QB,/players/L/LawrTr00
Jalen Hurts,QB,/players/H/HurtJa00
Aaron Rodgers,QB,/players/R/RodgAa00
Tua Tagovailoa,QB,/players/T/TagoTu00
Russell Wilson,QB,/players/W/WilsRu00
Derek Carr,QB,/players/C/CarrDe02
Daniel Jones,QB,/players/J/JoneDa05
Davis Mills,QB,/players/M/MillDa02
Matt Ryan,QB,/players/R/RyanMa00
Mac Jones,QB,/players/J/JoneMa05
Andy Dalton,QB,/players/D/DaltAn00
Dak Prescott,QB,/players/P/PresDa01
Jacoby Brissett,QB,/players/B/BrisJa00
Ryan Tannehill,QB,/players/T/TannRy00
Jimmy Garoppolo,QB,/players/G/GaroJi00
Kenny Pickett,QB,/players/P/PickKe00
Kyler Murray,QB,/players/M/MurrKy00
Justin Fields,QB,/players/F/FielJu00
Lamar Jackson,QB,/players/J/JackLa00
Marcus Mariota,QB,/players/M/MariMa01
Baker Mayfield,QB,/players/M/MayfBa00
Matthew Stafford,QB,/players/S/StafMa00
Taylor Heinicke,QB,/players/H/HeinTa00
Carson Wentz,QB,/players/W/WentCa00
Zach Wilson,QB,/players/W/WilsZa00
Brock Purdy,QB,/players/P/PurdBr00
Mitchell Trubisky,QB,/players/T/TrubMi00
Mike White,QB,/players/W/WhitMi01
Sam Darnold,QB,/players/D/DarnSa00
Deshaun Watson,QB,/players/W/WatsDe00
Joe Flacco,QB,/players/F/FlacJo00
Cooper Rush,QB,/players/R/RushCo00
Jameis Winston,QB,/players/W/WinsJa00
Bailey Zappe,QB,/players/Z/ZappBa00
Colt McCoy,QB,/players/M/McCoCo00
P.J. Walker,QB,/players/W/WalkPh00
Desmond Ridder,QB,/players/R/RiddDe00
Teddy Bridgewater,QB,/players/B/BridTe00
Gardner Minshew II,QB,/players/M/MinsGa00
Tyler Huntley,QB,/players/H/HuntTy01
Jarrett Stidham,QB,/players/S/StidJa00
Sam Ehlinger,QB,/players/E/EhliSa00
Skylar Thompson,QB,/players/T/ThomSk00
Brett Rypien,QB,/players/R/RypiBr00
Kyle Allen,QB,/players/A/AlleKy00
Trace McSorley,QB,/players/M/McSoTr00
Joshua Dobbs,QB,/players/D/DobbJo00
David Blough,QB,/players/B/BlouDa00
John Wolford,QB,/players/W/WolfJo00
Anthony Brown,QB,/players/B/BrowAn06
Malik Willis,QB,/players/W/WillMa12
Taysom Hill,TE,/players/H/HillTa00
Nick Foles,QB,/players/F/FoleNi00
Nick Mullens,QB,/players/M/MullNi00
Jordan Love,QB,/players/L/LoveJo03
Trey Lance,QB,/players/L/LancTr00
Trevor Siemian,QB,/players/S/SiemTr00
Sam Howell,QB,/players/H/HoweSa00
Davis Webb,QB,/players/W/WebbDa00
Bryce Perkins,QB,/players/P/PerkBr02
Nathan Peterman,QB,/players/P/PeteNa00
Jeff Driskel,QB,/players/D/DrisJe00
Chris Streveler,QB,/players/S/StreCh00
Jacob Eason,QB,/players/E/EasoJa00
Tyrod Taylor,QB,/players/T/TaylTy00
Chase Daniel,QB,/players/D/DaniCh00
Brian Hoyer,QB,/players/H/HoyeBr00
C.J. Beathard,QB,/players/B/BeatC.00
